iter	Passed	Remaining
0	317	25119
1	523	20429
2	734	18847
3	946	17977
4	1223	18359
5	1438	17744
6	1669	17407
7	1865	16793
8	2120	16731
9	2312	16189
10	2524	15833
11	2714	15383
12	2897	14932
13	3096	14599
14	3293	14271
15	3508	14035
16	3699	13709
17	3901	13436
18	4093	13140
19	4261	12783
20	4446	12492
21	4669	12310
22	4859	12043
23	5069	11827
24	5277	11610
25	5485	11392
26	5726	11241
27	5925	11004
28	6147	10810
29	6335	10559
30	6557	10365
31	6760	10141
32	6957	9909
33	7158	9685
34	7350	9450
35	7624	9318
36	7850	9123
37	8105	8958
38	8347	8775
39	8564	8564
40	8790	8362
41	8994	8137
42	9216	7930
43	9423	7710
44	9640	7497
45	9835	7269
46	10038	7048
47	10249	6833
48	10452	6612
49	10679	6407
50	10888	6191
51	11159	6008
52	11353	5784
53	11635	5602
54	11830	5377
55	12023	5152
56	12231	4935
57	12442	4719
58	12684	4514
59	12895	4298
60	13093	4078
61	13310	3864
62	13515	3647
63	13736	3434
64	13941	3217
65	14152	3001
66	14351	2784
67	14562	2569
68	14776	2355
69	14975	2139
70	15182	1924
71	15382	1709
72	15564	1492
73	15784	1279
74	15969	1064
75	16159	850
76	16365	637
77	16578	425
78	16837	213
79	17036	0
