iter	Passed	Remaining
0	27	8281
1	40	6068
2	52	5215
3	61	4566
4	81	4828
5	96	4716
6	107	4510
7	121	4422
8	135	4367
9	148	4308
10	162	4265
11	175	4215
12	191	4226
13	219	4481
14	245	4660
15	262	4662
16	286	4767
17	299	4698
18	313	4634
19	327	4579
20	348	4630
21	365	4617
22	383	4615
23	397	4570
24	410	4517
25	423	4465
26	437	4422
27	450	4378
28	463	4335
29	482	4343
30	495	4303
31	509	4266
32	523	4232
33	536	4200
34	549	4163
35	563	4129
36	584	4151
37	599	4134
38	613	4106
39	626	4074
40	640	4046
41	654	4017
42	667	3987
43	683	3979
44	698	3957
45	718	3965
46	733	3947
47	747	3923
48	761	3899
49	780	3904
50	797	3894
51	811	3868
52	824	3844
53	841	3833
54	855	3809
55	868	3784
56	886	3778
57	900	3755
58	914	3733
59	927	3708
60	941	3687
61	954	3664
62	967	3640
63	985	3632
64	998	3610
65	1019	3616
66	1039	3613
67	1053	3592
68	1066	3571
69	1087	3572
70	1101	3552
71	1116	3535
72	1129	3513
73	1143	3491
74	1156	3469
75	1170	3449
76	1183	3427
77	1198	3410
78	1219	3411
79	1233	3390
80	1245	3368
81	1260	3351
82	1275	3335
83	1302	3349
84	1315	3327
85	1329	3308
86	1353	3313
87	1366	3291
88	1384	3282
89	1398	3262
90	1411	3241
91	1424	3221
92	1438	3201
93	1452	3182
94	1465	3162
95	1482	3150
96	1501	3143
97	1516	3125
98	1529	3105
99	1543	3086
100	1556	3066
101	1570	3047
102	1587	3035
103	1601	3017
104	1613	2997
105	1627	2978
106	1641	2961
107	1655	2943
108	1669	2925
109	1683	2907
110	1697	2889
111	1711	2872
112	1732	2867
113	1746	2849
114	1766	2841
115	1792	2843
116	1819	2845
117	1832	2826
118	1845	2807
119	1858	2788
120	1872	2769
121	1896	2767
122	1910	2748
123	1923	2730
124	1937	2712
125	1950	2693
126	1963	2675
127	1977	2656
128	1995	2645
129	2010	2629
130	2023	2610
131	2036	2592
132	2049	2574
133	2063	2556
134	2076	2538
135	2098	2530
136	2112	2513
137	2126	2496
138	2139	2477
139	2152	2459
140	2166	2442
141	2187	2434
142	2208	2424
143	2221	2406
144	2235	2390
145	2250	2373
146	2263	2355
147	2276	2337
148	2293	2323
149	2307	2307
150	2321	2290
151	2335	2273
152	2348	2256
153	2362	2239
154	2375	2222
155	2394	2210
156	2410	2195
157	2423	2178
158	2436	2160
159	2449	2143
160	2463	2126
161	2476	2109
162	2492	2095
163	2508	2080
164	2522	2063
165	2548	2056
166	2569	2046
167	2589	2034
168	2602	2017
169	2616	2000
170	2629	1983
171	2642	1966
172	2655	1949
173	2668	1932
174	2684	1917
175	2702	1903
176	2716	1887
177	2730	1871
178	2750	1859
179	2768	1845
180	2781	1828
181	2800	1815
182	2814	1799
183	2828	1783
184	2847	1770
185	2862	1754
186	2876	1738
187	2896	1725
188	2910	1709
189	2924	1693
190	2937	1676
191	2950	1659
192	2964	1643
193	2978	1627
194	2995	1613
195	3009	1596
196	3022	1580
197	3036	1564
198	3049	1547
199	3063	1531
200	3076	1515
201	3095	1501
202	3109	1485
203	3123	1469
204	3136	1453
205	3149	1437
206	3162	1420
207	3175	1404
208	3193	1390
209	3206	1374
210	3220	1358
211	3235	1343
212	3249	1327
213	3263	1311
214	3281	1297
215	3315	1289
216	3329	1273
217	3343	1257
218	3356	1241
219	3369	1225
220	3387	1210
221	3404	1196
222	3418	1180
223	3431	1164
224	3444	1148
225	3457	1132
226	3471	1116
227	3490	1102
228	3505	1086
229	3518	1070
230	3531	1054
231	3544	1038
232	3557	1022
233	3570	1007
234	3588	992
235	3602	976
236	3616	961
237	3629	945
238	3643	929
239	3657	914
240	3670	898
241	3693	885
242	3716	871
243	3729	856
244	3743	840
245	3757	824
246	3771	809
247	3797	796
248	3823	783
249	3848	769
250	3862	753
251	3875	738
252	3894	723
253	3908	707
254	3922	692
255	3935	676
256	3948	660
257	3961	644
258	3975	629
259	3992	614
260	4008	598
261	4022	583
262	4036	567
263	4049	552
264	4065	536
265	4096	523
266	4119	509
267	4132	493
268	4146	477
269	4159	462
270	4173	446
271	4201	432
272	4238	419
273	4263	404
274	4278	388
275	4299	373
276	4314	358
277	4327	342
278	4341	326
279	4354	311
280	4368	295
281	4381	279
282	4405	264
283	4427	249
284	4448	234
285	4472	218
286	4494	203
287	4509	187
288	4522	172
289	4535	156
290	4549	140
291	4562	124
292	4575	109
293	4600	93
294	4618	78
295	4631	62
296	4644	46
297	4657	31
298	4672	15
299	4692	0
