iter	Logloss	Accuracy
0	0.6336575612	0.9426282663
1	0.5803375545	0.9426282663
2	0.5350720114	0.9426282663
3	0.4956054906	0.9426282663
4	0.4612229451	0.9426282663
5	0.4312670263	0.9426282663
6	0.4050302895	0.9426282663
7	0.3818215612	0.9426282663
8	0.3620694726	0.9426282663
9	0.3442900897	0.9426282663
10	0.3288069164	0.9426282663
11	0.3152842207	0.9426282663
12	0.3028747181	0.9426282663
13	0.2907127169	0.9426282663
14	0.2802821739	0.9426282663
15	0.2728663396	0.9426282663
16	0.2630529743	0.9426282663
17	0.2533286647	0.9426282663
18	0.2461261502	0.9426282663
19	0.2389751002	0.9426282663
20	0.2321464747	0.9426282663
21	0.2260689232	0.9426282663
22	0.220199601	0.9426282663
23	0.2153848711	0.9426282663
24	0.2115433177	0.9426282663
25	0.2076981813	0.9426282663
26	0.2039325569	0.9426282663
27	0.2005044483	0.9426282663
28	0.1979950382	0.9426282663
29	0.1953856564	0.9426282663
30	0.1928570621	0.9426282663
31	0.1911657474	0.9426282663
32	0.1893968226	0.9426282663
33	0.1879676638	0.9426282663
34	0.1866764121	0.9426282663
35	0.1848149789	0.9426282663
36	0.1837568113	0.9425901202
37	0.1827040604	0.9427045585
38	0.1817559271	0.9427808507
39	0.1806771496	0.9433530422
40	0.1798288485	0.9438870875
41	0.1789375222	0.9444974251
42	0.177672971	0.9444974251
43	0.1765709572	0.9444974251
44	0.1756284487	0.9451459088
45	0.174761879	0.945222201
46	0.1741196562	0.9453747854
47	0.1736635367	0.9454129315
48	0.1728724119	0.9457943925
49	0.1722528577	0.9460614152
50	0.1718452622	0.9461758535
51	0.1713429332	0.9462902918
52	0.1708109517	0.9464047301
53	0.170459694	0.9466717528
54	0.1700335929	0.9468243372
55	0.1695775605	0.9472820904
56	0.1691724865	0.9471676521
57	0.1689660335	0.947129506
58	0.1687422914	0.9475872592
59	0.1684738466	0.9478161358
60	0.1683614215	0.9479305741
61	0.1681766037	0.9479687202
62	0.1680708051	0.9480068663
63	0.1678226437	0.948273889
64	0.1674664147	0.9483501812
65	0.1673749471	0.9483883273
66	0.167231094	0.9485027656
67	0.1670581855	0.9484264734
68	0.1667156155	0.9485027656
69	0.166668929	0.9485409117
70	0.166088624	0.9489986649
71	0.1657484531	0.949418272
72	0.1653896935	0.9497615869
73	0.1652843609	0.949799733
74	0.1648775093	0.9498760252
75	0.1644862824	0.949799733
76	0.1639487946	0.9499523174
77	0.1637006611	0.9499904635
78	0.1636598781	0.9500286096
79	0.1635950755	0.9500667557
80	0.1632188035	0.9504482167
81	0.163070037	0.9505245089
82	0.1630411387	0.9505245089
83	0.1627896909	0.9506389472
84	0.1626559905	0.9506389472
85	0.1625083581	0.9506770933
86	0.1621559466	0.9506770933
87	0.1619862215	0.9506770933
88	0.1617590348	0.9508296777
89	0.1616753806	0.9509059699
90	0.1614803639	0.9509822621
91	0.1612482932	0.9510967004
92	0.161119752	0.9511348465
93	0.1610353244	0.9510585543
94	0.1608961171	0.9510585543
95	0.1608105079	0.9510967004
96	0.1607583443	0.9510967004
97	0.160301977	0.9512874309
98	0.1602701081	0.951325577
99	0.1602410462	0.951325577
100	0.1600842305	0.9514018692
101	0.1600778861	0.9514781614
102	0.1598579105	0.9516307458
103	0.1598535129	0.9516307458
104	0.1597814623	0.9516307458
105	0.1597461602	0.9516688919
106	0.159625518	0.9514400153
107	0.1593422418	0.9514781614
108	0.1592870568	0.9514400153
109	0.1591807457	0.9515925997
110	0.1589407615	0.9515544536
111	0.1588864923	0.9515163075
112	0.1588456017	0.9515544536
