iter	Passed	Remaining
0	26	26481
1	53	26758
2	74	24869
3	89	22276
4	103	20605
5	123	20414
6	161	22853
7	188	23398
8	205	22625
9	224	22194
10	247	22291
11	271	22327
12	302	22967
13	332	23401
14	361	23743
15	374	23053
16	405	23442
17	435	23773
18	455	23511
19	485	23780
20	511	23837
21	540	24011
22	572	24320
23	594	24160
24	615	23988
25	649	24329
26	690	24887
27	727	25265
28	757	25347
29	785	25396
30	817	25555
31	840	25432
32	867	25409
33	889	25279
34	911	25122
35	943	25253
36	965	25118
37	986	24971
38	1013	24973
39	1040	24970
40	1065	24923
41	1099	25088
42	1128	25126
43	1156	25128
44	1186	25177
45	1219	25281
46	1247	25296
47	1283	25452
48	1313	25498
49	1344	25543
50	1373	25559
51	1404	25607
52	1433	25622
53	1463	25632
54	1492	25648
55	1522	25668
56	1555	25736
57	1584	25737
58	1610	25679
59	1640	25707
60	1661	25579
61	1688	25550
62	1712	25465
63	1741	25469
64	1770	25469
65	1793	25383
66	1820	25347
67	1849	25344
68	1881	25385
69	1911	25389
70	1944	25446
71	1981	25535
72	2016	25611
73	2041	25552
74	2075	25599
75	2104	25581
76	2134	25583
77	2165	25598
78	2190	25536
79	2219	25527
80	2251	25541
81	2290	25636
82	2308	25510
83	2336	25483
84	2367	25480
85	2401	25527
86	2431	25521
87	2467	25568
88	2497	25567
89	2515	25436
90	2549	25467
91	2584	25511
92	2620	25558
93	2651	25556
94	2689	25620
95	2716	25579
96	2740	25513
97	2771	25507
98	2808	25556
99	2825	25427
100	2859	25454
101	2878	25340
102	2910	25344
103	2929	25238
104	2965	25274
105	2993	25247
106	3020	25204
107	3054	25225
108	3081	25186
109	3114	25200
110	3151	25237
111	3178	25197
112	3208	25184
113	3236	25150
114	3262	25105
115	3293	25100
116	3314	25013
117	3343	24992
118	3362	24895
119	3378	24774
120	3394	24661
121	3433	24709
122	3465	24708
123	3496	24700
124	3529	24703
125	3559	24688
126	3592	24694
127	3611	24601
128	3629	24503
129	3647	24408
130	3666	24319
131	3692	24282
132	3709	24178
133	3728	24096
134	3747	24013
135	3759	23885
136	3781	23820
137	3812	23812
138	3834	23750
139	3867	23757
140	3896	23737
141	3928	23734
142	3950	23674
143	3981	23665
144	4012	23662
145	4043	23654
146	4072	23630
147	4096	23580
148	4120	23535
149	4138	23451
150	4155	23362
151	4178	23309
152	4206	23285
153	4236	23271
154	4250	23172
155	4271	23112
156	4303	23107
157	4334	23099
158	4368	23105
159	4390	23047
160	4418	23024
161	4444	22993
162	4468	22946
163	4500	22940
164	4526	22905
165	4577	22995
166	4590	22899
167	4621	22888
